timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
244283270,15.810731,15.868315,5.44889,5.6152797,116.000725,1.0,1.0,4,1,0
244583307,15.860502,15.88255,5.1070404,5.4810576,116.44157,1.0,1.0,4,1,0
244884923,15.868797,15.892208,5.7182274,5.4368324,116.88976,1.0,1.0,4,1,0
245184876,15.943455,15.902769,5.407454,5.3144345,117.317986,1.0,1.0,4,1,0
245484897,15.943455,15.902277,5.9254093,5.422307,117.7812,1.0,1.0,4,1,0
245784892,15.9019785,15.897868,6.3915696,5.6687474,118.2829,1.0,1.0,4,1,0
246097002,15.93516,15.877973,6.4744425,5.996998,118.84415,1.0,1.0,4,1,0
246398465,15.79414,15.86828,7.1270657,6.3251753,119.41261,1.0,1.0,4,1,0
246698606,15.702892,15.847058,7.3860435,6.7196894,120.02231,1.0,1.0,4,1,0
246998535,15.76096,15.824263,7.3860435,7.0831985,120.658714,1.0,1.0,4,1,0
247298456,15.802436,15.816055,6.930243,7.0605755,121.24529,1.0,1.0,4,1,0
247598690,15.727778,15.816322,6.5365973,6.890288,121.799286,1.0,1.0,4,1,0
247900102,15.852207,15.8119545,6.9509616,6.9124103,122.379456,1.0,1.0,4,1,0
248200022,15.7360735,15.804623,7.209939,6.9538093,122.963356,1.0,1.0,4,1,0
248500881,15.60335,15.789073,7.696817,7.146573,123.58312,1.0,1.0,4,1,0
248800089,15.661416,15.776769,7.738253,7.3372498,124.21747,1.0,1.0,4,1,0
249100247,15.636531,15.756509,8.017949,7.5985093,124.88192,1.0,1.0,4,1,0
249401823,15.528692,15.735015,9.261043,8.07009,125.614365,1.0,1.0,4,1,0
249701763,15.420855,15.700582,10.255517,8.739305,126.42453,1.0,1.0,4,1,0
250001703,15.487216,15.657781,10.183002,9.364106,127.28513,1.0,1.0,4,1,0
250301856,15.545283,15.637746,9.675406,9.548778,128.10663,1.0,1.0,4,1,0
250601815,15.503807,15.617997,9.602893,9.564965,128.9044,1.0,1.0,4,1,0
250903447,15.653121,15.603649,9.592534,9.609444,129.71605,1.0,1.0,4,1,0
251203409,15.644826,15.611909,7.168502,9.094088,130.41835,1.0,1.0,4,1,0
251515445,15.877092,15.648816,6.2258234,8.033076,130.98596,1.0,1.0,4,1,0
251815399,15.843912,15.683623,5.966846,7.2036643,131.48117,1.0,1.0,4,1,0
252115416,15.926865,15.725869,5.542123,6.6429734,131.96509,1.0,1.0,4,1,0
252416963,15.852207,15.76875,5.428172,6.187261,132.4257,1.0,1.0,4,1,0
252716889,15.893683,15.805587,5.479968,5.864222,132.87376,1.0,1.0,4,1,0
253016916,15.868797,15.832785,5.44889,5.6955514,133.32672,1.0,1.0,4,1,0
253316893,15.885388,15.848971,5.366018,5.559574,133.77289,1.0,1.0,4,1,0
253616864,15.96834,15.866445,5.303863,5.4648185,134.21611,1.0,1.0,4,1,0
253916962,15.96834,15.878401,5.303863,5.446999,134.66765,1.0,1.0,4,1,0
254218482,15.976636,15.882836,5.5732,5.472631,135.12782,1.0,1.0,4,1,0
254518461,15.885388,15.883037,5.8218184,5.558548,135.6012,1.0,1.0,4,1,0
254818487,15.810731,15.885334,5.946128,5.6749554,136.0883,1.0,1.0,4,1,0
255118456,15.9019785,15.8871355,6.0911555,5.7945995,136.58553,1.0,1.0,4,1,0
255418490,15.976636,15.884961,6.277619,5.9516,137.10056,1.0,1.0,4,1,0
255720118,15.835616,15.87801,6.484802,6.126786,137.63545,1.0,1.0,4,1,0
256020146,15.694597,15.860877,6.774856,6.383727,138.19907,1.0,1.0,4,1,0
256320137,15.79414,15.849516,7.2824526,6.6310835,138.7815,1.0,1.0,4,1,0
256632123,15.711188,15.828016,7.7589717,6.974102,139.42702,1.0,1.0,4,1,0
256932125,15.578464,15.798459,8.0490265,7.3243694,140.08037,1.0,1.0,4,1,0
257233706,15.661416,15.766278,9.209247,7.760079,140.77953,1.0,1.0,4,1,0
257533665,15.76096,15.732582,8.577341,8.1989,141.51909,1.0,1.0,4,1,0
257833718,15.76096,15.721997,7.872922,8.172356,142.19765,1.0,1.0,4,1,0
258133674,15.9019785,15.738795,5.645714,7.477833,142.73996,1.0,1.0,4,1,0
258433709,15.910274,15.779165,4.816985,6.603368,143.18246,1.0,1.0,4,1,0
258735385,16.059587,15.823014,3.9157429,5.7204075,143.55298,1.0,1.0,4,1,0
259047303,16.10936,15.875483,3.4703012,4.881386,143.87248,1.0,1.0,4,1,0
259347349,16.101065,15.923118,3.0248594,4.2079506,144.13922,1.0,1.0,4,1,0
259647266,16.12595,15.970676,2.983423,3.6949084,144.38214,1.0,1.0,4,1,0
259947318,16.15913,16.01133,2.9627047,3.394493,144.62683,1.0,1.0,4,1,0
260248994,16.15913,16.04122,2.8383956,3.202125,144.871,1.0,1.0,4,1,0
260549018,16.15913,16.06529,2.8176773,3.0882766,145.11398,1.0,1.0,4,1,0
260849076,16.117655,16.079752,3.0145004,3.0293314,145.35829,1.0,1.0,4,1,0
261149071,16.084475,16.087729,3.0455778,3.0534399,145.61568,1.0,1.0,4,1,0
261449072,16.150835,16.098484,3.2941964,3.1443508,145.88844,1.0,1.0,4,1,0
261750616,16.009817,16.098253,3.791433,3.3056576,146.18484,1.0,1.0,4,1,0
262050615,16.042997,16.093925,3.9157429,3.5219328,146.50484,1.0,1.0,4,1,0
262350659,16.001522,16.08593,4.257593,3.7395444,146.84294,1.0,1.0,4,1,0
