-106.91,196.03,20.565,254.37
-106.97,195.88,20.565,254.36
-107.02,195.74,20.565,254.36
-107.08,195.6,20.565,254.35
-107.13,195.46,20.565,254.35
-107.18,195.31,20.565,254.35
-107.24,195.17,20.565,254.34
-107.29,195.03,20.565,254.34
-107.35,194.88,20.565,254.34
-107.4,194.74,20.565,254.34
-107.45,194.6,20.565,254.34
-107.51,194.46,20.565,254.34
-107.56,194.31,20.565,254.34
-107.62,194.17,20.565,254.35
-107.67,194.03,20.565,254.35
-107.72,193.89,20.565,254.35
-107.78,193.74,20.565,254.36
-107.83,193.6,20.565,254.36
-107.89,193.46,20.565,254.37
-107.94,193.32,20.565,254.37
-107.99,193.17,20.565,254.38
-108.05,193.03,20.565,254.39
-108.1,192.89,20.565,254.39
-108.15,192.75,20.564,254.4
-108.21,192.6,20.564,254.41
-108.26,192.46,20.564,254.42
-108.32,192.32,20.564,254.43
-108.37,192.18,20.564,254.44
-108.42,192.03,20.564,254.45
-108.48,191.89,20.564,254.47
-108.53,191.75,20.564,254.48
-108.58,191.6,20.564,254.49
-108.64,191.46,20.564,254.51
-108.69,191.32,20.563,254.52
-108.74,191.18,20.563,254.54
-108.8,191.03,20.563,254.55
-108.85,190.89,20.563,254.57
-108.9,190.75,20.563,254.58
-108.96,190.61,20.563,254.6
-109.01,190.46,20.563,254.62
-109.06,190.32,20.563,254.64
-109.12,190.18,20.562,254.66
-109.17,190.03,20.562,254.68
-109.22,189.89,20.562,254.7
-109.27,189.75,20.562,254.72
-109.33,189.61,20.562,254.74
-109.38,189.46,20.562,254.76
-109.43,189.32,20.561,254.78
-109.48,189.18,20.561,254.81
-109.54,189.03,20.561,254.83
-109.59,188.89,20.561,254.85
-109.64,188.75,20.561,254.88
-109.69,188.6,20.56,254.9
-109.75,188.46,20.56,254.93
-109.8,188.32,20.56,254.95
-109.85,188.17,20.56,254.98
-109.9,188.03,20.56,255.01
-109.95,187.89,20.559,255.03
-110.01,187.75,20.559,255.06
-110.06,187.6,20.559,255.09
-110.11,187.46,20.559,255.12
-110.16,187.32,20.558,255.15
-110.21,187.17,20.558,255.18
-110.26,187.03,20.558,255.21
-110.31,186.89,20.558,255.24
-110.36,186.74,20.557,255.27
-110.41,186.6,20.557,255.3
-110.47,186.45,20.557,255.34
-110.52,186.31,20.557,255.37
-110.57,186.17,20.556,255.4
-110.62,186.02,20.556,255.44
-110.67,185.88,20.556,255.47
-110.72,185.74,20.556,255.51
-110.77,185.59,20.555,255.54
-110.82,185.45,20.555,255.58
-110.87,185.31,20.555,255.61
-110.92,185.16,20.555,255.65
-110.97,185.02,20.554,255.69
-111.02,184.87,20.554,255.72
-111.07,184.73,20.554,255.76
-111.11,184.59,20.553,255.8
-111.16,184.44,20.553,255.84
-111.21,184.3,20.553,255.88
-111.26,184.16,20.553,255.92
-111.31,184.01,20.552,255.96
-111.36,183.87,20.552,256
-111.41,183.72,20.552,256.04
-111.46,183.58,20.551,256.08
-111.5,183.44,20.551,256.12
-111.55,183.29,20.551,256.16
-111.6,183.15,20.55,256.2
-111.65,183,20.55,256.25
-111.69,182.86,20.55,256.29
-111.74,182.71,20.55,256.33
-111.79,182.57,20.549,256.38
-111.84,182.43,20.549,256.42
-111.88,182.28,20.549,256.47
-111.93,182.14,20.548,256.51
-111.98,181.99,20.548,256.56
-112.02,181.85,20.548,256.6
-112.07,181.7,20.547,256.65
-112.12,181.56,20.547,256.7
-112.16,181.41,20.547,256.74
-112.21,181.27,20.546,256.79
-112.25,181.12,20.546,256.84
-112.3,180.98,20.546,256.89
-112.34,180.83,20.545,256.93
-112.39,180.69,20.545,256.98
-112.43,180.55,20.545,257.03
-112.48,180.4,20.544,257.08
-112.52,180.26,20.544,257.13
-112.57,180.11,20.544,257.18
-112.61,179.97,20.543,257.23
-112.66,179.82,20.543,257.28
-112.7,179.68,20.543,257.33
-112.75,179.53,20.542,257.38
-112.79,179.38,20.542,257.44
-112.83,179.24,20.542,257.49
-112.88,179.09,20.541,257.54
-112.92,178.95,20.541,257.59
-112.96,178.8,20.541,257.65
-113,178.66,20.54,257.7
-113.05,178.51,20.54,257.75
-113.09,178.37,20.539,257.81
-113.13,178.22,20.539,257.86
-113.17,178.08,20.539,257.92
-113.22,177.93,20.538,257.97
-113.26,177.79,20.538,258.03
-113.3,177.64,20.538,258.08
