-0.03125,0.0802
-0.030625,5.0213
-0.03,2.4951
-0.029375,2.1104
-0.02875,0.20246
-0.028125,15.086
-0.0275,0.01464
-0.026875,10.451
-0.02625,3.3353
-0.025625,5.1548
-0.025,1.9967
-0.024375,4.5641
-0.02375,4.6308
-0.023125,10.82
-0.0225,3.7565
-0.021875,1.8308
-0.02125,2.1055
-0.020625,2.7555
-0.02,11.867
-0.019375,10.135
-0.01875,2.4787
-0.018125,3.2469
-0.0175,0.35458
-0.016875,10.278
-0.01625,24.509
-0.015625,3.5398
-0.015,5.5538
-0.014375,0.91476
-0.01375,4.0721
-0.013125,2.9963
-0.0125,26.122
-0.011875,57.897
-0.01125,21.129
-0.010625,16.383
-0.01,18.966
-0.009375,14.639
-0.00875,33.856
-0.008125,459.44
-0.0075,16.446
-0.006875,27.861
-0.00625,71.456
-0.005625,22.023
-0.005,35.745
-0.004375,31.61
-0.00375,368.84
-0.003125,3.6131
-0.0025,100.39
-0.001875,57.623
-0.00125,79.039
-0.000625,13.975
0,3.9002e+05
0.000625,13.975
0.00125,79.039
0.001875,57.623
0.0025,100.39
0.003125,3.6131
0.00375,368.84
0.004375,31.61
0.005,35.745
0.005625,22.023
0.00625,71.456
0.006875,27.861
0.0075,16.446
0.008125,459.44
0.00875,33.856
0.009375,14.639
0.01,18.966
0.010625,16.383
0.01125,21.129
0.011875,57.897
0.0125,26.122
0.013125,2.9963
0.01375,4.0721
0.014375,0.91476
0.015,5.5538
0.015625,3.5398
0.01625,24.509
0.016875,10.278
0.0175,0.35458
0.018125,3.2469
0.01875,2.4787
0.019375,10.135
0.02,11.867
0.020625,2.7555
0.02125,2.1055
0.021875,1.8308
0.0225,3.7565
0.023125,10.82
0.02375,4.6308
0.024375,4.5641
0.025,1.9967
0.025625,5.1548
0.02625,3.3353
0.026875,10.451
0.0275,0.01464
0.028125,15.086
0.02875,0.20246
0.029375,2.1104
0.03,2.4951
0.030625,5.0213
