151,39.068,38.725,38.423,38.241,38.214,38.348,38.617,38.968,39.323,39.599
152,39.069,38.827,38.66,38.621,38.719,38.934,39.217,39.502,39.712,39.771
153,39.07,38.95,38.922,39.012,39.2,39.443,39.68,39.84,39.852,39.66
154,39.07,39.075,39.17,39.353,39.582,39.798,39.932,39.918,39.701,39.249
155,39.07,39.183,39.366,39.594,39.809,39.94,39.923,39.704,39.251,38.559
156,39.07,39.259,39.483,39.699,39.84,39.837,39.636,39.201,38.527,37.637
157,39.07,39.291,39.5,39.645,39.66,39.484,39.081,38.441,37.581,36.553
158,39.051,39.252,39.387,39.408,39.254,38.885,38.285,37.47,36.482,35.39
159,38.956,39.077,39.085,38.94,38.598,38.04,37.276,36.343,35.302,34.233
160,38.771,38.765,38.607,38.274,37.745,37.024,36.144,35.159,34.143,33.174
161,38.504,38.337,37.994,37.472,36.776,35.933,34.993,34.023,33.099,32.293
162,38.155,37.812,37.284,36.593,35.766,34.851,33.912,33.019,32.243,31.64
163,37.724,37.206,36.513,35.689,34.781,33.853,32.973,32.21,31.62,31.242
164,37.213,36.536,35.713,34.805,33.875,32.993,32.226,31.632,31.25,31.096
165,36.618,35.82,34.917,33.984,33.092,32.311,31.699,31.299,31.127,31.178
166,35.954,35.079,34.153,33.257,32.462,31.828,31.401,31.201,31.224,31.443
167,35.237,34.341,33.452,32.652,32.001,31.548,31.317,31.308,31.497,31.837
168,34.496,33.636,32.842,32.187,31.718,31.462,31.422,31.578,31.889,32.299
169,33.772,33.004,32.355,31.881,31.611,31.549,31.678,31.961,32.345,32.772
170,33.061,32.427,31.954,31.68,31.611,31.73,32.001,32.372,32.788,33.195
171,32.424,31.962,31.69,31.622,31.742,32.012,32.382,32.797,33.201,33.552
172,32.262,32.035,31.983,32.094,32.334,32.658,33.016,33.359,33.653,33.874
173,32.337,32.327,32.45,32.68,32.973,33.283,33.57,33.803,33.969,34.07
174,32.402,32.541,32.773,33.062,33.363,33.636,33.854,34.005,34.092,34.136
175,32.419,32.645,32.927,33.231,33.515,33.75,33.922,34.031,34.098,34.151
176,32.417,32.682,32.976,33.266,33.523,33.727,33.878,33.987,34.081,34.195
177,32.414,32.685,32.964,33.229,33.459,33.649,33.806,33.951,34.112,34.322
178,32.413,32.669,32.922,33.161,33.376,33.574,33.768,33.981,34.238,34.565
179,32.413,32.645,32.873,33.096,33.318,33.55,33.809,34.115,34.487,34.937
180,32.414,32.623,32.837,33.066,33.32,33.613,33.96,34.376,34.867,35.433
181,32.475,32.681,32.904,33.164,33.472,33.843,34.288,34.809,35.404,36.059
182,32.434,32.638,32.888,33.204,33.599,34.08,34.646,35.288,35.986,36.712
183,32.638,32.899,33.218,33.615,34.096,34.662,35.302,35.997,36.72,37.439
184,33.175,33.536,33.947,34.421,34.959,35.555,36.198,36.865,37.531,38.165
185,33.911,34.375,34.866,35.392,35.95,36.534,37.13,37.721,38.285,38.798
186,34.719,35.26,35.801,36.348,36.896,37.438,37.963,38.458,38.907,39.296
187,35.522,36.105,36.664,37.203,37.718,38.201,38.645,39.041,39.38,39.652
188,36.277,36.869,37.416,37.924,38.388,38.804,39.166,39.469,39.708,39.879
189,36.956,37.527,38.039,38.5,38.905,39.252,39.536,39.756,39.909,39.996
190,37.541,38.072,38.533,38.937,39.28,39.56,39.775,39.922,40.004,40.02
191,38.029,38.505,38.907,39.251,39.533,39.751,39.904,39.99,40.012,39.97
192,38.421,38.835,39.176,39.46,39.684,39.847,39.945,39.979,39.95,39.86
193,38.721,39.072,39.352,39.579,39.75,39.863,39.914,39.903,39.831,39.702
194,38.933,39.222,39.444,39.619,39.743,39.812,39.822,39.773,39.665,39.504
195,39.066,39.296,39.466,39.594,39.676,39.707,39.682,39.6,39.463,39.274
196,39.116,39.289,39.41,39.497,39.543,39.542,39.489,39.383,39.224,39.016
197,39.087,39.21,39.289,39.341,39.358,39.333,39.26,39.136,38.961,38.738
198,39.065,39.155,39.202,39.224,39.211,39.156,39.054,38.902,38.701,38.455
199,39.061,39.125,39.143,39.133,39.086,38.994,38.855,38.668,38.434,38.158
200,39.062,39.101,39.089,39.043,38.956,38.823,38.642,38.415,38.147,37.843
201,39.063,39.075,39.028,38.941,38.81,38.631,38.407,38.141,37.839,37.507
202,39.063,39.043,38.957,38.825,38.645,38.419,38.151,37.846,37.512,37.153
203,39.062,39.007,38.878,38.697,38.466,38.191,37.878,37.535,37.167,36.782
204,39.062,38.968,38.79,38.558,38.275,37.949,37.591,37.208,36.807,36.394
205,39.062,38.925,38.698,38.411,38.074,37.697,37.292,36.868,36.432,35.988
206,39.046,38.863,38.582,38.241,37.849,37.421,36.97,36.505,36.034,35.561
207,38.957,38.717,38.38,37.985,37.545,37.074,36.587,36.093,35.598,35.106
208,38.78,38.478,38.086,37.643,37.164,36.663,36.153,35.641,35.133,34.632
209,38.519,38.158,37.718,37.237,36.729,36.209,35.685,35.164,34.651,34.149
210,38.177,37.763,37.283,36.774,36.25,35.72,35.192,34.671,34.161,33.666
211,37.752,37.293,36.784,36.259,35.728,35.198,34.676,34.165,33.668,33.191
212,37.244,36.749,36.222,35.691,35.165,34.647,34.142,33.651,33.18,32.737
213,36.655,36.134,35.6,35.076,34.566,34.072,33.596,33.141,32.712,32.32
214,35.995,35.46,34.93,34.423,33.942,33.485,33.053,32.649,32.28,31.959
215,35.281,34.744,34.23,33.753,33.313,32.906,32.533,32.197,31.907,31.675
216,34.54,34.015,33.53,33.096,32.708,32.365,32.064,31.811,31.615,31.488
217,33.814,33.317,32.874,32.493,32.168,31.897,31.68,31.52,31.428,31.416
218,33.108,32.65,32.259,31.94,31.689,31.502,31.379,31.327,31.352,31.466
219,32.449,32.047,31.722,31.478,31.311,31.219,31.202,31.264,31.412,31.653
220,32.26,31.973,31.741,31.569,31.456,31.406,31.426,31.529,31.728,32.033
221,32.33,32.15,31.994,31.869,31.782,31.746,31.781,31.908,32.146,32.507
222,32.398,32.28,32.165,32.069,32.008,32.003,32.083,32.27,32.584,33.032
