85,19.408,27.864,35.877,45.034,48.929,52.098,53.189,52.724,49.955,44.816
86,0.81678,35.328,46.009,48.729,51.621,53.74,53.081,50.158,45.67,27.593
87,-4.3553,41.344,47.283,50.215,52.906,52.707,49.832,45.614,27.804,2.1026
88,21.183,44.545,45.269,47.824,48.194,45.318,44.476,24.458,-0.011543,-17.446
89,10.601,44.193,46.813,47.574,47.096,42.239,21.989,0.21394,-15.819,-20.947
90,27.047,40.494,44.94,43.023,31.602,14.036,-4.3411,-17.822,-21.654,-13.477
91,30.542,34.51,36.186,25.546,10.023,-5.9498,-17.195,-19.357,-10.294,9.1083
92,36.239,32.838,22.299,7.2219,-8.0722,-18.562,-20.046,-10.506,9.111,34.93
93,22.125,27.198,7.169,-8.6264,-20.03,-22.626,-14.157,4.6334,29.994,44.931
94,10.003,19.023,3.2146,-9.5037,-14.364,-8.5814,7.6705,31.118,44.995,50.88
95,27.476,19.124,6.3341,-0.33256,2.39,15.038,35.101,44.716,44.612,44.473
96,18.576,22.502,15.724,16.58,26.103,42.504,47.421,50.358,52.494,51.82
97,20.309,28.367,29.099,37.133,45.557,48.338,49.923,51.659,50.117,48.261
98,15.441,35.339,43.264,46.461,48.742,50.385,51.816,50.322,48.049,44.08
99,7.382,41.795,46.284,48.895,50.806,52.526,51.368,48.271,44.136,23.563
100,27.656,44.67,44.561,44.428,44.353,44.145,44.007,43.905,20.765,-0.99866
101,12.395,45.126,47.232,49.129,49.006,46.954,43.356,21.9,1.3233,-12.034
102,19.909,44.803,46.283,46.492,45.131,37.146,18.265,0.051561,-12.066,-14.134
103,33.66,41.307,44.492,42.827,30.723,14.724,-0.7071,-10.777,-11.801,-2.3827
104,34.867,36.382,34.883,23.749,9.3292,-4.2796,-12.666,-12.456,-2.4232,15.969
105,38.399,33.789,22.734,8.4952,-4.8737,-13.014,-12.601,-2.4432,15.986,38.768
106,14.413,28.768,9.558,-4.452,-13.73,-14.686,-5.8346,11.597,33.837,46.53
107,13.97,21.215,7.1798,-3.4012,-6.5877,-0.37792,14.562,34.929,44.543,48.947
108,14.569,21.672,11.018,6.1791,9.5979,21.255,38.542,46.346,48.993,50.333
109,17.147,24.958,20.016,21.82,30.779,44.29,47.002,49.054,50.494,48.912
110,17.561,30.199,31.894,39.647,46.3,47.037,49.372,51.004,48.162,46.38
111,12.692,36.045,43.709,47.207,48.028,49.948,50.682,49.036,47.175,36.121
112,6.9562,41.068,45.655,47.833,49.508,50.543,48.512,46.112,37.98,16.528
113,7.4481,44.056,46.271,48.153,48.983,48.055,46.193,36.605,15.827,-1.7888
114,13.949,44.274,45.948,46.854,46.437,44.572,34.075,14.73,-1.922,-11.417
115,26.512,41.638,44.685,44.542,40.494,27.081,10.766,-3.7866,-12.202,-11.531
116,31.785,36.719,41.331,34.86,23.227,9.2593,-3.0838,-9.8585,-8.3452,2.0464
117,36.029,35.603,29.222,18.29,5.4492,-5.5981,-11.18,-8.7975,2.022,19.416
