0.30749,29.354
0.99707,29.401
1.6662,29.44
2.3328,29.467
2.9995,29.479
3.6662,29.47
4.3329,29.437
4.9995,29.378
5.6662,29.289
6.3329,29.17
6.9995,29.022
7.6662,28.847
8.3329,28.646
8.9995,28.424
9.6662,28.185
10.333,27.933
11,27.673
11.666,27.409
12.333,27.144
13,26.881
13.666,26.621
14.333,26.365
15,26.112
15.666,25.861
16.333,25.61
17,25.355
17.666,25.095
18.333,24.826
19,24.547
19.666,24.258
20.333,23.959
21,23.652
21.666,23.34
22.333,23.029
23,22.726
23.666,22.438
24.333,22.173
25,21.942
25.666,21.754
26.333,21.616
27,21.538
27.666,21.525
28.333,21.583
29,21.712
29.666,21.914
30.333,22.185
31,22.521
31.666,22.914
32.333,23.355
33,23.832
33.666,24.335
34.333,24.85
35,25.365
35.666,25.869
36.333,26.349
37,26.799
37.666,27.209
38.333,27.575
39,27.895
39.666,28.167
40.333,28.394
41,28.578
41.666,28.725
42.333,28.839
43,28.929
43.666,29
44.333,29.058
45,29.108
45.666,29.156
46.333,29.203
47,29.252
47.666,29.302
48.333,29.351
49,29.398
49.666,29.437
50.333,29.466
51,29.48
51.666,29.473
52.333,29.443
53,29.386
53.666,29.3
54.333,29.184
55,29.039
55.666,28.866
56.333,28.667
57,28.447
57.666,28.209
58.333,27.958
59,27.698
59.666,27.434
60.333,27.169
61,26.905
61.666,26.645
62.333,26.389
63,26.136
63.666,25.885
64.333,25.633
65,25.379
65.666,25.119
66.333,24.852
67,24.574
67.667,24.286
68.333,23.988
69,23.681
69.667,23.369
70.333,23.058
71,22.753
71.667,22.462
72.333,22.195
73,21.96
73.667,21.766
74.333,21.623
75,21.539
75.667,21.52
76.333,21.571
77,21.693
77.667,21.889
78.333,22.154
79,22.484
79.667,22.873
80.333,23.31
81,23.785
81.667,24.287
82.333,24.802
83,25.318
83.667,25.824
84.333,26.308
85,26.76
85.667,27.175
86.333,27.546
87,27.87
87.667,28.146
88.333,28.377
89,28.565
89.667,28.714
90.333,28.831
91,28.923
91.667,28.994
92.333,29.053
93,29.104
93.667,29.152
94.333,29.199
95,29.247
95.667,29.297
96.333,29.347
97,29.394
97.667,29.435
98.333,29.465
99,29.48
99.667,29.476
100.33,29.448
101,29.394
101.67,29.311
102.33,29.198
103,29.055
103.67,28.884
104.33,28.688
105,28.469
105.67,28.232
106.33,27.982
107,27.723
107.67,27.459
108.33,27.193
109,26.929
109.67,26.669
110.33,26.412
111,26.159
111.67,25.908
112.33,25.657
113,25.403
113.67,25.144
114.33,24.878
115,24.601
115.67,24.314
116.33,24.016
117,23.71
117.67,23.398
118.33,23.086
119,22.78
119.67,22.487
120.33,22.217
121,21.978
121.67,21.78
122.33,21.631
123,21.541
123.67,21.515
124.33,21.559
125,21.675
125.67,21.864
126.33,22.123
127,22.448
127.67,22.832
128.33,23.266
129,23.739
129.67,24.239
130.33,24.754
131,25.271
131.67,25.779
132.33,26.266
133,26.722
133.67,27.141
134.33,27.516
135,27.844
135.67,28.125
136.33,28.36
137,28.551
137.67,28.704
138.33,28.823
139,28.916
139.67,28.989
140.33,29.048
141,29.1
141.67,29.147
142.33,29.194
143,29.243
143.67,29.292
144.33,29.342
145,29.39
145.67,29.432
146.33,29.463
147,29.481
147.67,29.479
148.33,29.453
149,29.402
149.67,29.322
150.33,29.211
151,29.071
151.67,28.903
152.33,28.708
153,28.491
153.67,28.256
154.33,28.006
155,27.747
155.67,27.483
156.33,27.218
157,26.954
157.67,26.693
158.33,26.436
159,26.182
159.67,25.931
160.33,25.68
161,25.427
161.67,25.169
162.33,24.903
163,24.628
163.67,24.342
164.33,24.045
165,23.739
165.67,23.428
166.33,23.115
167,22.807
167.67,22.512
168.33,22.239
169,21.996
169.67,21.793
170.33,21.64
171,21.543
171.67,21.511
172.33,21.548
173,21.657
173.67,21.839
174.33,22.092
175,22.412
175.67,22.791
176.33,23.221
177,23.692
177.67,24.191
178.33,24.706
179,25.224
179.67,25.733
180.33,26.223
181,26.683
181.67,27.106
182.33,27.485
183,27.818
183.67,28.104
184.33,28.342
185,28.537
185.67,28.693
186.33,28.815
187,28.91
187.67,28.984
188.33,29.044
189,29.095
189.67,29.143
190.33,29.19
191,29.238
191.67,29.288
192.33,29.338
193,29.386
193.67,29.429
194.33,29.462
195,29.481
195.67,29.481
196.33,29.458
197,29.409
197.67,29.332
198.33,29.224
199,29.086
199.69,28.914
